Region,Seed,School,SRS
1,1,Duke,31.57
1,16,Siena,-4.33
1,8,Ohio State,19.1
1,9,TCU,15.77
1,4,Kansas,21.11
1,13,California Baptist,2.54
1,5,St. John's (NY),22.43
1,12,Northern Iowa,8.52
1,3,Michigan State,23.46
1,14,North Dakota State,2.51
1,6,Louisville,23.42
1,11,South Florida,12.98
1,7,UCLA,18.28
1,10,UCF,13.32
1,2,Connecticut,22.93
1,15,Furman,-3.22
2,1,Florida,27.92
2,16,Prairie View A&M,-12.74
2,8,Clemson,17
2,9,Iowa,19
2,4,Nebraska,21.54
2,13,Troy,-0.75
2,5,Vanderbilt,23.18
2,12,McNeese State,7.78
2,3,Illinois,26.46
2,14,Pennsylvania,-0.86
2,6,North Carolina,19.4
2,11,Virginia Commonwealth,13.1
2,7,Saint Mary's (CA),17.91
2,10,Texas A&M,16.77
2,2,Houston,26.23
2,15,Idaho,-0.03
3,1,Arizona,29.93
3,16,Long Island University,-4.94
3,8,Villanova,16.32
3,9,Utah State,17.36
3,4,Arkansas,22.1
3,13,Hawaii,4.86
3,5,Wisconsin,19.54
3,12,High Point,6.77
3,3,Gonzaga,25.14
3,14,Kennesaw State,0.14
3,6,Brigham Young,21.05
3,11,Texas,16.17
3,7,Miami (FL),18.05
3,10,Missouri,13.08
3,2,Purdue,25.22
3,15,Queens (NC),-3.29
4,1,Michigan,32.93
4,16,Howard,-4.64
4,8,Georgia,19.58
4,9,Saint Louis,17.29
4,4,Alabama,22.7
4,13,Hofstra,4.48
4,5,Texas Tech,21.94
4,12,Akron,9.05
4,3,Virginia,21.61
4,14,Wright State,0.14
4,6,Tennessee,22.11
4,11,Southern Methodist,17.29
4,7,Kentucky,19.82
4,10,Santa Clara,15.9
4,2,Iowa State,27.15
4,15,Tennessee State,-4.53
